SongID,segment_num,segment_start,segment_end,duration,start_beat_idx,end_beat_idx,num_beats,num_components,seg_type
1,1,0.0,15.466666666666667,15.466666666666667,0,33,33,4,chroma_acts
1,2,15.466666666666667,28.426666666666666,12.959999999999999,33,60,27,4,chroma_acts
1,3,28.426666666666666,60.586666666666666,32.16,60,127,67,4,chroma_acts
1,4,60.586666666666666,120.58666666666666,59.99999999999999,127,252,125,4,chroma_acts
1,5,120.58666666666666,148.90666666666664,28.31999999999998,252,311,59,4,chroma_acts
1,6,148.90666666666664,166.18666666666664,17.28,311,347,36,4,chroma_acts
1,7,166.18666666666664,227.14666666666665,60.96000000000001,347,474,127,4,chroma_acts
1,8,227.14666666666665,259.995,32.84833333333336,474,541,67,4,chroma_acts
2,1,0.0,44.25599999999999,44.25599999999999,0,93,93,5,chroma_acts
2,2,44.25599999999999,76.896,32.64000000000001,93,161,68,5,chroma_acts
2,3,76.896,84.576,7.679999999999993,161,177,16,5,chroma_acts
2,4,84.576,91.776,7.200000000000003,177,192,15,5,chroma_acts
2,5,91.776,136.416,44.64,192,285,93,5,chroma_acts
2,6,136.416,169.05599999999998,32.639999999999986,285,353,68,5,chroma_acts
2,7,169.05599999999998,176.736,7.680000000000007,353,369,16,5,chroma_acts
2,8,176.736,183.936,7.200000000000017,369,384,15,5,chroma_acts
2,9,183.936,276.425,92.489,384,575,191,5,chroma_acts
3,1,0.0,13.194666666666667,13.194666666666667,0,28,28,4,chroma_acts
3,2,13.194666666666667,47.27466666666667,34.08,28,99,71,4,chroma_acts
3,3,47.27466666666667,91.43466666666666,44.15999999999999,99,191,92,4,chroma_acts
3,4,91.43466666666666,115.91466666666666,24.480000000000004,191,242,51,4,chroma_acts
3,5,115.91466666666666,123.11466666666666,7.200000000000003,242,257,15,4,chroma_acts
3,6,123.11466666666666,161.51466666666667,38.400000000000006,257,337,80,4,chroma_acts
3,7,161.51466666666667,179.529,18.014333333333326,337,373,36,4,chroma_acts
6,1,0.0,8.682666666666666,8.682666666666666,0,19,19,3,chroma_acts
6,2,8.682666666666666,15.882666666666665,7.199999999999999,19,34,15,3,chroma_acts
6,3,15.882666666666665,31.722666666666665,15.84,34,67,33,3,chroma_acts
6,4,31.722666666666665,61.00266666666666,29.279999999999998,67,128,61,3,chroma_acts
6,5,61.00266666666666,92.20266666666666,31.199999999999996,128,193,65,3,chroma_acts
6,6,92.20266666666666,122.92266666666666,30.72,193,257,64,3,chroma_acts
6,7,122.92266666666666,156.04266666666666,33.120000000000005,257,326,69,3,chroma_acts
6,8,156.04266666666666,203.799,47.756333333333345,326,424,98,3,chroma_acts
7,1,0.0,29.418666666666663,29.418666666666663,0,62,62,5,chroma_acts
7,2,29.418666666666663,57.25866666666666,27.84,62,120,58,5,chroma_acts
7,3,57.25866666666666,80.77866666666667,23.520000000000003,120,169,49,5,chroma_acts
7,4,80.77866666666667,115.33866666666665,34.55999999999999,169,241,72,5,chroma_acts
7,5,115.33866666666665,149.89866666666666,34.56,241,313,72,5,chroma_acts
7,6,149.89866666666666,199.81866666666667,49.920000000000016,313,417,104,5,chroma_acts
7,7,199.81866666666667,233.41866666666667,33.599999999999994,417,487,70,5,chroma_acts
7,8,233.41866666666667,291.4986666666667,58.08000000000001,487,608,121,5,chroma_acts
7,9,291.4986666666667,323.466,31.96733333333333,608,673,65,5,chroma_acts
8,1,0.0,8.575999999999999,8.575999999999999,0,17,17,3,chroma_acts
8,2,8.575999999999999,52.47999999999999,43.90399999999999,17,101,84,3,chroma_acts
8,3,52.47999999999999,65.024,12.544000000000011,101,125,24,3,chroma_acts
8,4,65.024,169.03466666666665,104.01066666666665,125,324,199,3,chroma_acts
8,5,169.03466666666665,173.73866666666666,4.704000000000008,324,333,9,3,chroma_acts
8,6,173.73866666666666,177.3973333333333,3.6586666666666474,333,340,7,3,chroma_acts
8,7,177.3973333333333,181.57866666666666,4.181333333333356,340,348,8,3,chroma_acts
8,8,181.57866666666666,273.391,91.81233333333336,348,522,174,3,chroma_acts
10,1,0.0,46.86933333333334,46.86933333333334,0,96,96,5,chroma_acts
10,2,46.86933333333334,93.48266666666667,46.61333333333334,96,191,95,5,chroma_acts
10,3,93.48266666666667,97.89866666666667,4.415999999999997,191,200,9,5,chroma_acts
10,4,97.89866666666667,101.82400000000001,3.9253333333333416,200,208,8,5,chroma_acts
10,5,101.82400000000001,105.74933333333334,3.9253333333333273,208,216,8,5,chroma_acts
10,6,105.74933333333334,113.60000000000001,7.850666666666669,216,232,16,5,chroma_acts
10,7,113.60000000000001,117.52533333333334,3.9253333333333273,232,240,8,5,chroma_acts
10,8,117.52533333333334,140.58666666666667,23.061333333333337,240,287,47,5,chroma_acts
10,9,140.58666666666667,172.83,32.24333333333334,287,351,64,5,chroma_acts
11,1,0.0,23.808,23.808,0,50,50,4,chroma_acts
11,2,23.808,36.288,12.479999999999997,50,76,26,4,chroma_acts
11,3,36.288,81.888,45.60000000000001,76,171,95,4,chroma_acts
11,4,81.888,85.728,3.839999999999989,171,179,8,4,chroma_acts
11,5,85.728,116.928,31.200000000000003,179,244,65,4,chroma_acts
11,6,116.928,131.808,14.879999999999995,244,275,31,4,chroma_acts
11,7,131.808,170.688,38.879999999999995,275,356,81,4,chroma_acts
11,8,170.688,178.368,7.680000000000007,356,372,16,4,chroma_acts
11,9,178.368,194.056,15.688000000000017,372,403,31,4,chroma_acts
12,1,0.0,23.818666666666665,23.818666666666665,0,49,49,4,chroma_acts
12,2,23.818666666666665,35.104,11.285333333333334,49,72,23,4,chroma_acts
12,3,35.104,45.89866666666667,10.794666666666672,72,94,22,4,chroma_acts
12,4,45.89866666666667,48.352000000000004,2.453333333333333,94,99,5,4,chroma_acts
12,5,48.352000000000004,60.61866666666667,12.266666666666666,99,124,25,4,chroma_acts
12,6,60.61866666666667,87.11466666666666,26.495999999999995,124,178,54,4,chroma_acts
12,7,87.11466666666666,126.36800000000001,39.253333333333345,178,258,80,4,chroma_acts
12,8,126.36800000000001,145.5,19.13199999999999,258,295,37,4,chroma_acts
13,1,0.0,17.397333333333332,17.397333333333332,0,38,38,5,chroma_acts
13,2,17.397333333333332,22.56,5.1626666666666665,38,49,11,5,chroma_acts
13,3,22.56,31.946666666666665,9.386666666666667,49,69,20,5,chroma_acts
13,4,31.946666666666665,92.02133333333333,60.074666666666666,69,197,128,5,chroma_acts
13,5,92.02133333333333,106.57066666666667,14.549333333333337,197,228,31,5,chroma_acts
13,6,106.57066666666667,137.54666666666668,30.976000000000013,228,294,66,5,chroma_acts
13,7,137.54666666666668,144.58666666666667,7.039999999999992,294,309,15,5,chroma_acts
13,8,144.58666666666667,174.375,29.788333333333327,309,371,62,5,chroma_acts
18,1,0.0,25.152,25.152,0,54,54,5,chroma_acts
18,2,25.152,39.70133333333333,14.54933333333333,54,85,31,5,chroma_acts
18,3,39.70133333333333,43.455999999999996,3.7546666666666653,85,93,8,5,chroma_acts
18,4,43.455999999999996,58.474666666666664,15.018666666666668,93,125,32,5,chroma_acts
18,5,58.474666666666664,62.22933333333333,3.7546666666666653,125,133,8,5,chroma_acts
18,6,62.22933333333333,65.984,3.7546666666666653,133,141,8,5,chroma_acts
18,7,65.984,99.776,33.792,141,213,72,5,chroma_acts
18,8,99.776,137.792,38.016000000000005,213,294,81,5,chroma_acts
18,9,137.792,148.594,10.801999999999992,294,316,22,5,chroma_acts
19,1,0.0,30.826666666666664,30.826666666666664,0,65,65,6,chroma_acts
19,2,30.826666666666664,61.06666666666667,30.240000000000006,65,128,63,6,chroma_acts
19,3,61.06666666666667,80.74666666666667,19.68,128,169,41,6,chroma_acts
19,4,80.74666666666667,84.58666666666666,3.839999999999989,169,177,8,6,chroma_acts
19,5,84.58666666666666,95.62666666666667,11.040000000000006,177,200,23,6,chroma_acts
19,6,95.62666666666667,130.18666666666664,34.559999999999974,200,272,72,6,chroma_acts
19,7,130.18666666666664,158.98666666666665,28.80000000000001,272,332,60,6,chroma_acts
19,8,158.98666666666665,190.66666666666666,31.680000000000007,332,398,66,6,chroma_acts
19,9,190.66666666666666,199.462,8.795333333333332,398,415,17,6,chroma_acts
20,1,0.0,32.17066666666666,32.17066666666666,0,65,65,5,chroma_acts
20,2,32.17066666666666,63.75466666666666,31.583999999999996,65,128,63,5,chroma_acts
20,3,63.75466666666666,105.86666666666666,42.112,128,212,84,5,chroma_acts
20,4,105.86666666666666,107.872,2.00533333333334,212,216,4,5,chroma_acts
20,5,107.872,109.87733333333333,2.0053333333333256,216,220,4,5,chroma_acts
20,6,109.87733333333333,113.88799999999999,4.0106666666666655,220,228,8,5,chroma_acts
20,7,113.88799999999999,181.253,67.365,228,361,133,5,chroma_acts
21,1,0.0,39.38133333333333,39.38133333333333,0,83,83,5,chroma_acts
21,2,39.38133333333333,53.78133333333333,14.399999999999999,83,113,30,5,chroma_acts
21,3,53.78133333333333,68.66133333333333,14.880000000000003,113,144,31,5,chroma_acts
21,4,68.66133333333333,100.34133333333332,31.679999999999993,144,210,66,5,chroma_acts
21,5,100.34133333333332,124.82133333333333,24.480000000000004,210,261,51,5,chroma_acts
21,6,124.82133333333333,144.98133333333334,20.16000000000001,261,303,42,5,chroma_acts
21,7,144.98133333333334,160.34133333333332,15.359999999999985,303,335,32,5,chroma_acts
21,8,160.34133333333332,190.58133333333333,30.24000000000001,335,398,63,5,chroma_acts
21,9,190.58133333333333,209.179,18.59766666666667,398,435,37,5,chroma_acts
22,1,0.0,156.69333333333336,156.69333333333336,0,320,320,5,chroma_acts
22,2,156.69333333333336,159.63733333333334,2.9439999999999884,320,326,6,5,chroma_acts
22,3,159.63733333333334,162.58133333333336,2.944000000000017,326,332,6,5,chroma_acts
22,4,162.58133333333336,167.9786666666667,5.397333333333336,332,343,11,5,chroma_acts
22,5,167.9786666666667,170.43200000000002,2.453333333333319,343,348,5,5,chroma_acts
22,6,170.43200000000002,175.33866666666668,4.906666666666666,348,358,10,5,chroma_acts
22,7,175.33866666666668,178.2826666666667,2.944000000000017,358,364,6,5,chroma_acts
22,8,178.2826666666667,184.17066666666668,5.887999999999977,364,376,12,5,chroma_acts
22,9,184.17066666666668,255.37,71.19933333333333,376,520,144,5,chroma_acts
23,1,0.0,32.992,32.992,0,69,69,6,chroma_acts
23,2,32.992,41.152,8.160000000000004,69,86,17,6,chroma_acts
23,3,41.152,63.711999999999996,22.559999999999995,86,133,47,6,chroma_acts
23,4,63.711999999999996,79.55199999999999,15.839999999999996,133,166,33,6,chroma_acts
23,5,79.55199999999999,83.392,3.8400000000000034,166,174,8,6,chroma_acts
23,6,83.392,117.952,34.56,174,246,72,6,chroma_acts
23,7,117.952,140.992,23.039999999999992,246,294,48,6,chroma_acts
23,8,140.992,154.432,13.439999999999998,294,322,28,6,chroma_acts
23,9,154.432,187.831,33.399,322,390,68,6,chroma_acts
25,1,0.0,31.56266666666667,31.56266666666667,0,68,68,4,chroma_acts
25,2,31.56266666666667,60.66133333333333,29.098666666666663,68,130,62,4,chroma_acts
25,3,60.66133333333333,62.06933333333333,1.4080000000000013,130,133,3,4,chroma_acts
25,4,62.06933333333333,77.55733333333333,15.488,133,166,33,4,chroma_acts
25,5,77.55733333333333,108.064,30.50666666666666,166,231,65,4,chroma_acts
25,6,108.064,153.12,45.05600000000001,231,327,96,4,chroma_acts
25,7,153.12,154.528,1.407999999999987,327,330,3,4,chroma_acts
25,8,154.528,168.983,14.455000000000013,330,359,29,4,chroma_acts
26,1,0.0,15.093333333333334,15.093333333333334,0,32,32,5,chroma_acts
26,2,15.093333333333334,32.85333333333333,17.759999999999998,32,69,37,5,chroma_acts
26,3,32.85333333333333,47.733333333333334,14.880000000000003,69,100,31,5,chroma_acts
26,4,47.733333333333334,50.61333333333334,2.8800000000000026,100,106,6,5,chroma_acts
26,5,50.61333333333334,107.25333333333333,56.63999999999999,106,224,118,5,chroma_acts
26,6,107.25333333333333,124.53333333333333,17.28,224,260,36,5,chroma_acts
26,7,124.53333333333333,127.41333333333333,2.8799999999999955,260,266,6,5,chroma_acts
26,8,127.41333333333333,156.744,29.330666666666673,266,326,60,5,chroma_acts
29,1,0.0,28.832,28.832,0,61,61,3,chroma_acts
29,2,28.832,69.152,40.32,61,145,84,3,chroma_acts
29,3,69.152,82.592,13.439999999999998,145,173,28,3,chroma_acts
29,4,82.592,84.512,1.9200000000000017,173,177,4,3,chroma_acts
29,5,84.512,115.71199999999999,31.19999999999999,177,242,65,3,chroma_acts
29,6,115.71199999999999,153.632,37.920000000000016,242,321,79,3,chroma_acts
29,7,153.632,167.072,13.439999999999998,321,349,28,3,chroma_acts
29,8,167.072,168.992,1.9199999999999875,349,353,4,3,chroma_acts
29,9,168.992,215.04,46.048,353,447,94,3,chroma_acts
30,1,0.0,71.30666666666666,71.30666666666666,0,152,152,5,chroma_acts
30,2,71.30666666666666,120.11733333333332,48.81066666666666,152,256,104,5,chroma_acts
30,3,120.11733333333332,125.74933333333333,5.632000000000005,256,268,12,5,chroma_acts
30,4,125.74933333333333,127.62666666666667,1.8773333333333397,268,272,4,5,chroma_acts
30,5,127.62666666666667,131.38133333333332,3.754666666666651,272,280,8,5,chroma_acts
30,6,131.38133333333332,133.25866666666667,1.877333333333354,280,284,4,5,chroma_acts
30,7,133.25866666666667,161.41866666666667,28.159999999999997,284,344,60,5,chroma_acts
30,8,161.41866666666667,213.209,51.790333333333336,344,453,109,5,chroma_acts
32,1,0.0,11.669333333333332,11.669333333333332,0,26,26,4,chroma_acts
32,2,11.669333333333332,26.346666666666664,14.677333333333332,26,58,32,4,chroma_acts
32,3,26.346666666666664,30.016,3.6693333333333342,58,66,8,4,chroma_acts
32,4,30.016,56.618666666666655,26.602666666666657,66,124,58,4,chroma_acts
